ID_MARCA;MARCA;ID_LINHA;LINHA;DATA_VENDA;QTD_VENDA
2;EUDORA;2;PERFUMARIA;25/02/2019;11
1;BOTICÁRIO;4;SOLAR;22/07/2019;18
1;BOTICÁRIO;5;HIDRATANTES;17/01/2019;6
5;BELEZA NA WEB;4;SOLAR;08/08/2019;14
4;VULT;3;MAQUIAGEM;23/05/2019;9
1;BOTICÁRIO;2;PERFUMARIA;14/07/2019;2
2;EUDORA;5;HIDRATANTES;20/12/2019;20
1;BOTICÁRIO;1;CABELOS;16/07/2019;1
2;EUDORA;2;PERFUMARIA;05/11/2019;6
4;VULT;5;HIDRATANTES;11/06/2019;19
2;EUDORA;2;PERFUMARIA;23/11/2019;19
4;VULT;4;SOLAR;27/04/2019;3
4;VULT;5;HIDRATANTES;12/03/2019;8
4;VULT;4;SOLAR;24/10/2019;8
3;QUEM DISSE BERENICE;1;CABELOS;11/01/2019;16
3;QUEM DISSE BERENICE;1;CABELOS;13/01/2019;2
2;EUDORA;5;HIDRATANTES;27/08/2019;19
2;EUDORA;2;PERFUMARIA;02/11/2019;4
2;EUDORA;2;PERFUMARIA;06/02/2019;13
4;VULT;3;MAQUIAGEM;02/12/2019;12
1;BOTICÁRIO;3;MAQUIAGEM;04/07/2019;19
3;QUEM DISSE BERENICE;5;HIDRATANTES;02/01/2019;4
1;BOTICÁRIO;2;PERFUMARIA;20/07/2019;4
5;BELEZA NA WEB;4;SOLAR;23/02/2019;3
5;BELEZA NA WEB;2;PERFUMARIA;19/12/2019;17
5;BELEZA NA WEB;1;CABELOS;10/05/2019;18
4;VULT;5;HIDRATANTES;30/11/2019;18
3;QUEM DISSE BERENICE;1;CABELOS;25/11/2019;14
1;BOTICÁRIO;2;PERFUMARIA;07/01/2019;1
2;EUDORA;1;CABELOS;22/06/2019;20
4;VULT;5;HIDRATANTES;08/11/2019;10
4;VULT;5;HIDRATANTES;04/07/2019;5
1;BOTICÁRIO;2;PERFUMARIA;02/11/2019;7
4;VULT;3;MAQUIAGEM;16/08/2019;4
1;BOTICÁRIO;2;PERFUMARIA;29/09/2019;13
1;BOTICÁRIO;4;SOLAR;10/05/2019;16
5;BELEZA NA WEB;3;MAQUIAGEM;11/10/2019;12
1;BOTICÁRIO;4;SOLAR;29/06/2019;8
2;EUDORA;1;CABELOS;17/02/2019;12
5;BELEZA NA WEB;1;CABELOS;09/01/2019;5
2;EUDORA;2;PERFUMARIA;19/08/2019;15
1;BOTICÁRIO;4;SOLAR;30/03/2019;11
3;QUEM DISSE BERENICE;2;PERFUMARIA;09/10/2019;9
5;BELEZA NA WEB;2;PERFUMARIA;12/02/2019;3
2;EUDORA;3;MAQUIAGEM;22/01/2019;17
2;EUDORA;4;SOLAR;15/01/2019;11
5;BELEZA NA WEB;1;CABELOS;16/08/2019;5
4;VULT;2;PERFUMARIA;09/02/2019;8
1;BOTICÁRIO;1;CABELOS;17/12/2019;8
4;VULT;3;MAQUIAGEM;10/04/2019;4
4;VULT;5;HIDRATANTES;04/12/2019;7
3;QUEM DISSE BERENICE;4;SOLAR;19/01/2019;12
4;VULT;4;SOLAR;19/10/2019;13
1;BOTICÁRIO;4;SOLAR;09/07/2019;7
3;QUEM DISSE BERENICE;3;MAQUIAGEM;26/01/2019;4
4;VULT;5;HIDRATANTES;01/11/2019;7
2;EUDORA;1;CABELOS;21/01/2019;10
4;VULT;3;MAQUIAGEM;23/05/2019;5
5;BELEZA NA WEB;5;HIDRATANTES;24/02/2019;8
4;VULT;4;SOLAR;18/10/2019;16
5;BELEZA NA WEB;2;PERFUMARIA;09/07/2019;19
1;BOTICÁRIO;5;HIDRATANTES;13/01/2019;3
1;BOTICÁRIO;4;SOLAR;15/12/2019;1
5;BELEZA NA WEB;4;SOLAR;09/04/2019;14
1;BOTICÁRIO;1;CABELOS;02/02/2019;5
5;BELEZA NA WEB;5;HIDRATANTES;01/11/2019;3
4;VULT;4;SOLAR;11/04/2019;14
2;EUDORA;5;HIDRATANTES;04/02/2019;7
2;EUDORA;1;CABELOS;19/04/2019;16
3;QUEM DISSE BERENICE;3;MAQUIAGEM;18/05/2019;5
1;BOTICÁRIO;1;CABELOS;21/08/2019;1
2;EUDORA;2;PERFUMARIA;11/10/2019;15
5;BELEZA NA WEB;3;MAQUIAGEM;24/12/2019;20
5;BELEZA NA WEB;3;MAQUIAGEM;20/07/2019;2
4;VULT;2;PERFUMARIA;29/09/2019;15
5;BELEZA NA WEB;5;HIDRATANTES;14/04/2019;14
1;BOTICÁRIO;4;SOLAR;27/05/2019;6
5;BELEZA NA WEB;1;CABELOS;16/09/2019;1
2;EUDORA;3;MAQUIAGEM;26/06/2019;19
4;VULT;3;MAQUIAGEM;04/03/2019;13
1;BOTICÁRIO;3;MAQUIAGEM;02/06/2019;13
4;VULT;5;HIDRATANTES;15/04/2019;11
2;EUDORA;5;HIDRATANTES;02/06/2019;10
3;QUEM DISSE BERENICE;4;SOLAR;29/01/2019;2
5;BELEZA NA WEB;1;CABELOS;02/03/2019;19
5;BELEZA NA WEB;1;CABELOS;18/11/2019;19
3;QUEM DISSE BERENICE;3;MAQUIAGEM;15/05/2019;7
2;EUDORA;3;MAQUIAGEM;06/04/2019;12
1;BOTICÁRIO;1;CABELOS;12/10/2019;18
1;BOTICÁRIO;4;SOLAR;26/03/2019;15
4;VULT;4;SOLAR;24/03/2019;3
1;BOTICÁRIO;3;MAQUIAGEM;08/09/2019;19
1;BOTICÁRIO;4;SOLAR;17/11/2019;1
5;BELEZA NA WEB;3;MAQUIAGEM;08/06/2019;10
2;EUDORA;3;MAQUIAGEM;24/07/2019;19
3;QUEM DISSE BERENICE;5;HIDRATANTES;01/08/2019;15
1;BOTICÁRIO;1;CABELOS;01/09/2019;17
5;BELEZA NA WEB;2;PERFUMARIA;07/01/2019;9
3;QUEM DISSE BERENICE;4;SOLAR;02/05/2019;10
1;BOTICÁRIO;2;PERFUMARIA;20/08/2019;18
1;BOTICÁRIO;3;MAQUIAGEM;03/09/2019;17
4;VULT;1;CABELOS;16/08/2019;11
2;EUDORA;3;MAQUIAGEM;15/04/2019;14
4;VULT;4;SOLAR;05/06/2019;19
4;VULT;1;CABELOS;17/11/2019;7
3;QUEM DISSE BERENICE;4;SOLAR;26/03/2019;12
4;VULT;4;SOLAR;09/10/2019;11
5;BELEZA NA WEB;1;CABELOS;10/03/2019;19
4;VULT;5;HIDRATANTES;18/11/2019;18
5;BELEZA NA WEB;3;MAQUIAGEM;14/09/2019;1
5;BELEZA NA WEB;4;SOLAR;15/10/2019;18
2;EUDORA;5;HIDRATANTES;27/08/2019;2
3;QUEM DISSE BERENICE;1;CABELOS;03/03/2019;8
1;BOTICÁRIO;4;SOLAR;16/06/2019;17
3;QUEM DISSE BERENICE;4;SOLAR;01/06/2019;19
1;BOTICÁRIO;3;MAQUIAGEM;26/12/2019;18
2;EUDORA;5;HIDRATANTES;11/09/2019;11
4;VULT;5;HIDRATANTES;21/02/2019;14
3;QUEM DISSE BERENICE;3;MAQUIAGEM;14/10/2019;13
1;BOTICÁRIO;2;PERFUMARIA;18/01/2019;17
4;VULT;3;MAQUIAGEM;30/06/2019;12
3;QUEM DISSE BERENICE;4;SOLAR;22/10/2019;14
2;EUDORA;1;CABELOS;22/02/2019;1
3;QUEM DISSE BERENICE;5;HIDRATANTES;28/04/2019;6
1;BOTICÁRIO;1;CABELOS;24/07/2019;12
1;BOTICÁRIO;3;MAQUIAGEM;17/02/2019;3
2;EUDORA;5;HIDRATANTES;17/12/2019;20
5;BELEZA NA WEB;5;HIDRATANTES;25/07/2019;5
3;QUEM DISSE BERENICE;5;HIDRATANTES;31/07/2019;6
2;EUDORA;5;HIDRATANTES;05/02/2019;1
4;VULT;5;HIDRATANTES;23/05/2019;3
3;QUEM DISSE BERENICE;2;PERFUMARIA;24/08/2019;8
5;BELEZA NA WEB;5;HIDRATANTES;31/03/2019;6
4;VULT;5;HIDRATANTES;09/03/2019;8
5;BELEZA NA WEB;4;SOLAR;27/07/2019;1
2;EUDORA;5;HIDRATANTES;30/12/2019;20
5;BELEZA NA WEB;5;HIDRATANTES;12/10/2019;16
3;QUEM DISSE BERENICE;4;SOLAR;26/07/2019;5
1;BOTICÁRIO;3;MAQUIAGEM;07/12/2019;17
3;QUEM DISSE BERENICE;3;MAQUIAGEM;10/03/2019;4
1;BOTICÁRIO;4;SOLAR;08/07/2019;4
5;BELEZA NA WEB;3;MAQUIAGEM;21/03/2019;3
4;VULT;3;MAQUIAGEM;06/07/2019;1
5;BELEZA NA WEB;2;PERFUMARIA;20/05/2019;10
3;QUEM DISSE BERENICE;1;CABELOS;08/05/2019;17
1;BOTICÁRIO;2;PERFUMARIA;12/07/2019;16
4;VULT;3;MAQUIAGEM;15/09/2019;20
2;EUDORA;2;PERFUMARIA;16/05/2019;12
3;QUEM DISSE BERENICE;2;PERFUMARIA;03/03/2019;20
3;QUEM DISSE BERENICE;1;CABELOS;11/10/2019;9
1;BOTICÁRIO;2;PERFUMARIA;21/06/2019;9
4;VULT;4;SOLAR;03/12/2019;13
2;EUDORA;2;PERFUMARIA;19/08/2019;9
4;VULT;2;PERFUMARIA;21/11/2019;16
5;BELEZA NA WEB;2;PERFUMARIA;20/01/2019;15
5;BELEZA NA WEB;4;SOLAR;14/04/2019;13
1;BOTICÁRIO;1;CABELOS;05/08/2019;18
3;QUEM DISSE BERENICE;1;CABELOS;14/10/2019;16
1;BOTICÁRIO;4;SOLAR;31/05/2019;9
2;EUDORA;5;HIDRATANTES;06/08/2019;2
3;QUEM DISSE BERENICE;4;SOLAR;29/05/2019;17
5;BELEZA NA WEB;5;HIDRATANTES;11/08/2019;15
1;BOTICÁRIO;2;PERFUMARIA;14/01/2019;5
2;EUDORA;4;SOLAR;17/11/2019;19
2;EUDORA;4;SOLAR;11/03/2019;5
1;BOTICÁRIO;1;CABELOS;05/11/2019;5
4;VULT;3;MAQUIAGEM;28/02/2019;13
5;BELEZA NA WEB;5;HIDRATANTES;15/01/2019;13
2;EUDORA;4;SOLAR;08/06/2019;3
4;VULT;5;HIDRATANTES;23/09/2019;1
3;QUEM DISSE BERENICE;2;PERFUMARIA;02/07/2019;18
1;BOTICÁRIO;2;PERFUMARIA;16/04/2019;20
3;QUEM DISSE BERENICE;3;MAQUIAGEM;10/04/2019;17
1;BOTICÁRIO;2;PERFUMARIA;26/02/2019;16
4;VULT;3;MAQUIAGEM;22/10/2019;4
2;EUDORA;2;PERFUMARIA;22/04/2019;18
3;QUEM DISSE BERENICE;4;SOLAR;07/09/2019;16
3;QUEM DISSE BERENICE;4;SOLAR;14/04/2019;4
5;BELEZA NA WEB;3;MAQUIAGEM;01/10/2019;14
2;EUDORA;5;HIDRATANTES;22/02/2019;20
1;BOTICÁRIO;4;SOLAR;02/12/2019;8
4;VULT;3;MAQUIAGEM;27/09/2019;20
3;QUEM DISSE BERENICE;1;CABELOS;02/01/2019;6
2;EUDORA;2;PERFUMARIA;13/11/2019;6
1;BOTICÁRIO;3;MAQUIAGEM;01/03/2019;6
5;BELEZA NA WEB;2;PERFUMARIA;10/01/2019;13
4;VULT;4;SOLAR;10/03/2019;15
3;QUEM DISSE BERENICE;5;HIDRATANTES;01/01/2019;7
2;EUDORA;5;HIDRATANTES;24/09/2019;20
3;QUEM DISSE BERENICE;2;PERFUMARIA;23/11/2019;14
2;EUDORA;5;HIDRATANTES;12/10/2019;17
5;BELEZA NA WEB;4;SOLAR;23/12/2019;9
2;EUDORA;3;MAQUIAGEM;29/12/2019;16
3;QUEM DISSE BERENICE;5;HIDRATANTES;28/04/2019;6
2;EUDORA;3;MAQUIAGEM;06/09/2019;12
1;BOTICÁRIO;4;SOLAR;01/11/2019;17
2;EUDORA;1;CABELOS;04/01/2019;7
2;EUDORA;1;CABELOS;02/03/2019;20
2;EUDORA;4;SOLAR;16/07/2019;11
4;VULT;1;CABELOS;01/10/2019;9
4;VULT;5;HIDRATANTES;29/10/2019;16
2;EUDORA;1;CABELOS;18/08/2019;5
1;BOTICÁRIO;2;PERFUMARIA;26/06/2019;10
1;BOTICÁRIO;4;SOLAR;22/10/2019;2
4;VULT;4;SOLAR;09/08/2019;5
5;BELEZA NA WEB;5;HIDRATANTES;27/07/2019;18
5;BELEZA NA WEB;5;HIDRATANTES;11/02/2019;13
3;QUEM DISSE BERENICE;3;MAQUIAGEM;14/08/2019;7
4;VULT;5;HIDRATANTES;20/03/2019;11
4;VULT;5;HIDRATANTES;18/05/2019;18
5;BELEZA NA WEB;5;HIDRATANTES;23/06/2019;13
1;BOTICÁRIO;2;PERFUMARIA;17/12/2019;10
4;VULT;3;MAQUIAGEM;25/03/2019;9
4;VULT;3;MAQUIAGEM;20/05/2019;4
1;BOTICÁRIO;4;SOLAR;06/04/2019;13
5;BELEZA NA WEB;5;HIDRATANTES;20/10/2019;16
5;BELEZA NA WEB;1;CABELOS;18/10/2019;14
3;QUEM DISSE BERENICE;1;CABELOS;22/05/2019;15
1;BOTICÁRIO;5;HIDRATANTES;14/10/2019;2
1;BOTICÁRIO;3;MAQUIAGEM;12/09/2019;19
5;BELEZA NA WEB;3;MAQUIAGEM;29/01/2019;8
1;BOTICÁRIO;2;PERFUMARIA;16/03/2019;10
5;BELEZA NA WEB;1;CABELOS;28/02/2019;19
1;BOTICÁRIO;2;PERFUMARIA;21/09/2019;13
4;VULT;2;PERFUMARIA;29/07/2019;13
1;BOTICÁRIO;2;PERFUMARIA;04/04/2019;20
3;QUEM DISSE BERENICE;5;HIDRATANTES;26/03/2019;20
3;QUEM DISSE BERENICE;5;HIDRATANTES;07/07/2019;15
3;QUEM DISSE BERENICE;4;SOLAR;21/08/2019;7
1;BOTICÁRIO;1;CABELOS;24/07/2019;14
1;BOTICÁRIO;1;CABELOS;01/03/2019;18
3;QUEM DISSE BERENICE;2;PERFUMARIA;06/04/2019;15
5;BELEZA NA WEB;3;MAQUIAGEM;27/01/2019;15
4;VULT;1;CABELOS;11/03/2019;2
5;BELEZA NA WEB;1;CABELOS;19/04/2019;7
4;VULT;2;PERFUMARIA;06/03/2019;7
3;QUEM DISSE BERENICE;3;MAQUIAGEM;31/03/2019;8
1;BOTICÁRIO;5;HIDRATANTES;22/09/2019;12
